id,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm
0,0.0,-25.5,0.0,10.0,5.0,2.0,460.86,32.16
1,0.0,-25.5,0.0,10.0,-5.0,-2.0,434.2,22.897
2,0.0,-25.5,0.0,0.1554,-25.0749,-5.8364,500.0,5.854
3,0.0,-25.5,0.0,-8.8226,-22.2558,-0.6539,500.0,9.423
4,10.0,5.0,2.0,18.6986,7.0905,0.9323,421.72,9.01
5,10.0,5.0,2.0,10.9286,4.8896,7.2525,421.72,5.335
6,10.0,-5.0,-2.0,16.7569,-5.0177,-10.9531,368.4,11.217
7,10.0,-5.0,-2.0,5.7088,-6.778,1.2488,368.4,5.668
8,16.7569,-5.0177,-10.9531,19.8326,-5.0258,-15.0285,321.21,5.106
9,16.7569,-5.0177,-10.9531,-7.9245,12.3092,-5.0965,338.56,30.72
10,16.7569,-5.0177,-10.9531,18.5572,-6.3378,-10.2501,368.4,2.34
11,16.7569,-5.0177,-10.9531,15.0407,-6.749,-14.6121,368.4,4.397
12,16.7569,-5.0177,-10.9531,15.4872,-4.2102,-10.4174,368.4,1.597
13,-7.9245,12.3092,-5.0965,-14.7596,5.2903,-11.496,308.72,11.702
14,-7.9245,12.3092,-5.0965,-1.944,14.4532,-4.8804,308.72,6.357
15,-7.9245,12.3092,-5.0965,-11.113,8.7212,-1.5895,308.72,5.945
16,18.6986,7.0905,0.9323,35.9726,11.2419,-1.188,386.74,17.892
17,18.6986,7.0905,0.9323,39.5789,16.428,1.0642,368.73,22.873
18,18.6986,7.0905,0.9323,21.6384,12.67,-5.3962,421.72,8.934
19,18.6986,7.0905,0.9323,15.4376,9.2524,-0.8272,421.72,4.29
20,18.6986,7.0905,0.9323,23.3559,6.7966,6.4621,421.72,7.236
21,39.5789,16.428,1.0642,39.7837,10.0764,3.4262,315.73,6.78
22,-14.7596,5.2903,-11.496,-23.1918,-3.3688,-19.391,279.14,14.436
23,-14.7596,5.2903,-11.496,0.6115,-9.1727,-21.9083,274.53,23.534
24,-14.7596,5.2903,-11.496,-14.8974,5.1655,-8.9992,308.72,2.504
25,-14.7596,5.2903,-11.496,-14.8013,4.9442,-15.5758,308.72,4.095
26,0.6115,-9.1727,-21.9083,0.801,-7.3359,-18.2754,240.34,4.075
27,39.7837,10.0764,3.4262,40.155,-1.4373,7.7077,271.85,12.29
28,39.7837,10.0764,3.4262,39.7837,10.0764,3.4262,292.74,0.0
29,39.7837,10.0764,3.4262,45.7467,-0.645,-2.4816,315.73,13.616
30,39.7837,10.0764,3.4262,39.1667,11.3209,5.6087,315.73,2.587
31,39.7837,10.0764,3.4262,43.0175,11.6576,2.947,315.73,3.631
32,-1.944,14.4532,-4.8804,1.4157,15.6576,-4.759,266.36,3.571
33,-1.944,14.4532,-4.8804,-1.944,14.4532,-4.8804,285.84,0.0
34,-1.944,14.4532,-4.8804,2.0784,19.485,2.387,308.72,9.712
35,-1.944,14.4532,-4.8804,-3.4409,15.2242,-10.2263,308.72,5.605
36,10.9286,4.8896,7.2525,12.9089,4.6542,18.4533,385.33,11.377
37,10.9286,4.8896,7.2525,-16.9504,17.8948,18.4166,370.44,32.726
38,10.9286,4.8896,7.2525,6.9618,8.6621,7.079,421.72,5.477
39,-16.9504,17.8948,18.4166,-26.939,15.056,15.4402,319.17,10.802
40,45.7467,-0.645,-2.4816,49.2479,-6.9403,-5.9505,290.26,7.995
41,45.7467,-0.645,-2.4816,37.3712,-10.5823,8.3552,275.16,16.921
42,45.7467,-0.645,-2.4816,45.8515,2.7114,-7.6412,315.73,6.156
43,45.7467,-0.645,-2.4816,43.1256,0.2035,-0.7786,315.73,3.239
44,45.7467,-0.645,-2.4816,47.4315,-2.4537,-3.9557,315.73,2.878
45,37.3712,-10.5823,8.3552,28.2893,-8.4931,6.9116,234.58,9.43
46,37.3712,-10.5823,8.3552,37.7515,-11.8785,7.8907,234.58,1.428
47,0.1554,-25.0749,-5.8364,0.2711,-24.7584,-10.1823,451.87,4.359
48,0.1554,-25.0749,-5.8364,6.0037,17.5013,-15.4062,444.86,44.029
49,6.0037,17.5013,-15.4062,9.8062,10.8246,-19.0688,389.71,8.512
50,45.8515,2.7114,-7.6412,45.95,5.8608,-12.4824,286.2,5.776
51,45.8515,2.7114,-7.6412,45.8515,2.7114,-7.6412,279.98,0.0
52,45.8515,2.7114,-7.6412,40.6158,5.9513,-11.8534,315.73,7.46
53,-8.8226,-22.2558,-0.6539,-22.529,-17.2157,-1.6699,429.47,14.639
54,-8.8226,-22.2558,-0.6539,-8.8226,-22.2558,-0.6539,464.32,0.0
