id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
0,art,1,0.0,-25.5,3.0,48.5277,1.6125,2.5885,441.55
1,art,1,0.0,-25.5,3.0,31.9027,-17.5449,8.4268,454.85
2,art,2,48.5277,1.6125,2.5885,39.8388,5.2706,12.1594,351.59
3,art,2,48.5277,1.6125,2.5885,-35.4827,-14.7714,-9.1329,334.63
4,art,2,31.9027,-17.5449,8.4268,10.5187,-2.2491,-21.6492,368.51
5,art,2,31.9027,-17.5449,8.4268,-1.4873,-4.2182,21.9602,366.36
6,art,3,39.8388,5.2706,12.1594,12.4146,25.4828,3.5021,296.07
7,art,3,39.8388,5.2706,12.1594,15.1215,22.4765,9.8483,276.56
8,art,3,-35.4827,-14.7714,-9.1329,-5.6799,-23.5888,-10.0987,259.81
9,art,3,-35.4827,-14.7714,-9.1329,-2.3577,-26.6672,0.2601,253.29
10,art,3,10.5187,-2.2491,-21.6492,9.2955,12.2736,-19.3028,303.46
11,art,3,10.5187,-2.2491,-21.6492,16.3574,23.859,-6.6683,281.85
12,art,3,-1.4873,-4.2182,21.9602,22.7691,-7.8779,18.5701,275.2
13,art,3,-1.4873,-4.2182,21.9602,6.9064,-3.2276,21.8626,301.5
14,art,4,12.4146,25.4828,3.5021,14.8535,24.7103,-5.045,248.49
15,art,4,12.4146,25.4828,3.5021,8.9538,24.7351,7.3226,239.1
16,art,4,15.1215,22.4765,9.8483,7.4478,17.899,16.1592,197.48
17,art,4,15.1215,22.4765,9.8483,9.4437,25.709,4.2001,218.2
18,art,4,-5.6799,-23.5888,-10.0987,-8.3543,-24.5414,-7.8987,216.32
19,art,4,-5.6799,-23.5888,-10.0987,-1.051,-22.3197,-12.2018,201.22
20,art,4,-2.3577,-26.6672,0.2601,-9.6997,-26.162,-0.5588,205.44
21,art,4,-2.3577,-26.6672,0.2601,-3.7584,-25.3746,6.7092,188.23
22,art,4,9.2955,12.2736,-19.3028,8.087,9.3053,-20.5285,249.94
23,art,4,9.2955,12.2736,-19.3028,8.6268,16.5534,-17.0117,251.58
24,art,4,16.3574,23.859,-6.6683,7.2706,25.9573,-4.0294,198.19
25,art,4,16.3574,23.859,-6.6683,10.4322,24.3842,-7.7245,222.62
26,art,4,22.7691,-7.8779,18.5701,11.6788,-8.2899,20.4733,192.32
27,art,4,22.7691,-7.8779,18.5701,16.6137,-1.7229,20.88,213.14
28,art,4,6.9064,-3.2276,21.8626,2.8847,-3.5037,22.0186,245.43
29,art,4,6.9064,-3.2276,21.8626,3.2287,-2.9763,22.0626,256.25
30,art,5,14.8535,24.7103,-5.045,5.4481,2.6927,-9.4713,194.54
31,art,5,14.8535,24.7103,-5.045,19.9526,5.3075,19.8305,207.89
32,art,5,8.9538,24.7351,7.3226,8.7595,7.2059,-3.9117,193.93
33,art,5,8.9538,24.7351,7.3226,2.1018,18.2249,16.2325,173.2
