id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm,presion_entrada,presion_salida,es_terminal
0,art,1,0.0,-25.5,3.0,47.7407,-3.9351,1.5308,452.38,52.4059,100.0,91.8,0
1,art,1,0.0,-25.5,3.0,39.9057,-2.9103,12.2105,444.3,46.7717,100.0,92.55,0
2,art,2,47.7407,-3.9351,1.5308,-30.5059,1.7568,-17.0171,356.6,80.6161,91.8,75.79,0
3,art,2,47.7407,-3.9351,1.5308,2.786,5.1086,-21.547,368.95,51.3351,91.8,81.94,0
4,art,2,47.7407,-3.9351,1.5308,39.2449,1.4281,-7.5415,350.28,13.5369,91.8,89.06,0
5,art,2,47.7407,-3.9351,1.5308,40.2146,1.6603,0.1737,374.0,9.4758,91.8,90.0,0
6,art,2,47.7407,-3.9351,1.5308,43.0326,-6.4846,2.0775,345.12,5.3819,91.8,90.69,0
7,art,2,47.7407,-3.9351,1.5308,44.9193,-4.639,-0.8645,377.62,3.7673,91.8,91.09,1
8,art,2,39.9057,-2.9103,12.2105,29.5433,-1.1778,17.3984,363.45,11.7173,92.55,90.26,0
9,art,2,39.9057,-2.9103,12.2105,-22.3979,-20.9031,8.7705,329.95,64.9408,92.55,78.61,0
10,art,2,39.9057,-2.9103,12.2105,39.8238,-5.6146,10.1965,355.76,3.3728,92.55,91.87,1
11,art,2,39.9057,-2.9103,12.2105,38.7421,-3.7935,10.3557,340.53,2.361,92.55,92.05,1
12,art,3,-30.5059,1.7568,-17.0171,-16.0993,-15.4726,-16.2542,278.89,22.4719,75.79,70.08,0
13,art,3,-30.5059,1.7568,-17.0171,-3.894,-26.1463,2.4751,274.27,43.2056,75.79,64.63,0
14,art,3,-30.5059,1.7568,-17.0171,-34.0395,3.393,-14.7504,277.53,4.5057,75.79,74.64,1
15,art,3,-30.5059,1.7568,-17.0171,-31.5111,3.7582,-14.7964,275.71,3.154,75.79,74.98,0
16,art,3,-30.5059,1.7568,-17.0171,-30.1115,-0.2816,-15.1396,284.91,2.7993,75.79,75.09,1
17,art,3,-30.5059,1.7568,-17.0171,-29.6753,0.0205,-16.6502,267.03,1.9595,75.79,75.27,1
18,art,3,2.786,5.1086,-21.547,-25.714,13.6334,-14.7753,285.03,30.5087,81.94,74.36,0
19,art,3,2.786,5.1086,-21.547,-34.3318,9.4452,13.3611,310.14,51.1382,81.94,70.27,0
20,art,3,2.786,5.1086,-21.547,6.4269,3.2363,-19.9335,284.06,4.4006,81.94,80.85,1
21,art,3,2.786,5.1086,-21.547,4.7951,5.5828,-19.2606,310.79,3.0804,81.94,81.24,0
22,art,3,29.5433,-1.1778,17.3984,16.3136,17.0634,15.0606,306.85,22.6546,90.26,85.03,0
23,art,3,29.5433,-1.1778,17.3984,1.7593,26.3671,-0.7514,299.77,43.1288,90.26,80.07,0
24,art,3,29.5433,-1.1778,17.3984,27.7444,-7.2241,16.2966,298.65,6.4037,90.26,88.74,0
25,art,3,29.5433,-1.1778,17.3984,25.7593,-3.0204,15.8558,307.83,4.4826,90.26,89.23,0
26,art,3,-22.3979,-20.9031,8.7705,3.8019,-24.5693,7.8621,230.59,26.4707,78.61,70.48,0
27,art,3,-22.3979,-20.9031,8.7705,28.3686,-16.9381,-10.8853,253.58,54.583,78.61,63.36,0
28,art,3,-22.3979,-20.9031,8.7705,-28.7422,-17.9122,7.0334,235.14,7.2259,78.61,76.43,0
29,art,3,-22.3979,-20.9031,8.7705,-26.1024,-17.4778,9.1291,250.41,5.0581,78.61,77.18,0
30,art,3,-22.3979,-20.9031,8.7705,-20.6475,-19.5901,3.0988,238.5,6.079,78.61,76.8,0
31,art,3,-22.3979,-20.9031,8.7705,-24.1098,-21.7886,4.9766,247.74,4.2553,78.61,77.39,0
32,art,4,-16.0993,-15.4726,-16.2542,-7.8339,-10.5342,-19.8559,233.7,10.28,70.08,66.97,0
33,art,4,-16.0993,-15.4726,-16.2542,-6.0475,-20.1052,13.9905,210.93,32.2062,70.08,59.27,0
34,art,4,-16.0993,-15.4726,-16.2542,-14.5006,-12.7133,-13.3874,212.68,4.2881,70.08,68.65,0
35,art,4,-16.0993,-15.4726,-16.2542,-16.6807,-13.8422,-13.8019,232.57,3.0017,70.08,69.17,0
36,art,4,-3.894,-26.1463,2.4751,-7.5279,-25.9233,-2.3691,220.8,6.0598,64.63,62.69,0
37,art,4,-3.894,-26.1463,2.4751,5.5917,0.9744,4.7216,209.15,28.8194,64.63,54.87,0
38,art,4,-3.894,-26.1463,2.4751,-6.6617,-25.023,5.4704,218.82,4.2301,64.63,63.26,0
39,art,4,-3.894,-26.1463,2.4751,-5.7859,-27.1807,4.5045,211.56,2.9611,64.63,63.64,1
40,art,4,-25.714,13.6334,-14.7753,-22.5358,0.6416,-19.4624,204.65,14.1724,74.36,69.46,0
41,art,4,-25.714,13.6334,-14.7753,-28.3366,-17.4435,-7.259,219.18,32.0803,74.36,64.0,0
42,art,4,-25.714,13.6334,-14.7753,-22.5719,12.1346,-15.8833,205.71,3.6534,74.36,73.11,1
43,art,4,-25.714,13.6334,-14.7753,-23.4941,12.4712,-14.264,218.39,2.5574,74.36,73.53,1
44,art,4,-34.3318,9.4452,13.3611,-17.4926,6.5678,19.7693,252.23,18.2456,70.27,65.14,0
45,art,4,-34.3318,9.4452,13.3611,-9.3038,19.3494,-10.3984,262.37,35.9028,70.27,60.58,0
46,art,4,-34.3318,9.4452,13.3611,-42.9776,3.2325,5.0076,261.54,13.5325,70.27,66.6,0
47,art,4,-34.3318,9.4452,13.3611,-38.396,12.2342,5.2718,253.2,9.4728,70.27,67.62,0
48,art,4,-34.3318,9.4452,13.3611,-27.1259,17.1216,9.6681,258.36,11.1575,70.27,67.21,0
49,art,4,-34.3318,9.4452,13.3611,-27.752,13.5197,14.4118,256.68,7.8102,70.27,68.11,1
50,art,4,-34.3318,9.4452,13.3611,-31.7514,8.8251,9.697,258.34,4.5243,70.27,69.03,1
51,art,4,-34.3318,9.4452,13.3611,-34.3925,7.6983,10.7202,256.7,3.167,70.27,69.39,1
52,art,4,-34.3318,9.4452,13.3611,-31.5329,6.5415,14.6978,258.69,4.2487,70.27,69.1,0
53,art,4,-34.3318,9.4452,13.3611,-32.7859,9.0129,15.8649,256.33,2.9741,70.27,69.44,1
54,art,4,-34.3318,9.4452,13.3611,-35.4742,11.7332,11.718,264.68,3.0397,70.27,69.45,1
55,art,4,-34.3318,9.4452,13.3611,-35.8675,9.7069,11.9118,249.34,2.1278,70.27,69.66,1
56,art,4,16.3136,17.0634,15.0606,0.3128,15.7131,17.6782,258.17,16.2697,85.03,80.57,0
57,art,4,16.3136,17.0634,15.0606,0.2659,22.5179,-11.4832,232.88,31.4937,85.03,75.46,0
58,art,4,1.7593,26.3671,-0.7514,8.643,25.1862,5.296,238.94,9.2386,80.07,77.34,0
59,art,4,1.7593,26.3671,-0.7514,3.2141,-3.2255,-10.3039,229.19,31.1302,80.07,70.45,0
60,art,4,1.7593,26.3671,-0.7514,0.3815,25.0727,3.4016,229.39,4.563,80.07,78.66,1
61,art,4,1.7593,26.3671,-0.7514,2.953,24.4899,1.5406,238.77,3.1941,80.07,79.13,1
62,art,4,3.8019,-24.5693,7.8621,5.6316,-22.4399,11.3031,176.39,4.4411,70.48,68.7,0
63,art,4,3.8019,-24.5693,7.8621,5.3814,-14.6867,-16.1339,163.02,25.9994,70.48,59.18,0
64,art,4,28.3686,-16.9381,-10.8853,21.0608,-23.728,-1.171,201.84,13.9238,63.36,58.48,0
65,art,4,28.3686,-16.9381,-10.8853,13.044,11.1916,-6.2724,219.55,32.3635,63.36,52.93,0
66,art,4,28.3686,-16.9381,-10.8853,26.8475,-13.5307,-13.4194,210.09,4.5106,63.36,61.84,1
67,art,4,28.3686,-16.9381,-10.8853,25.4724,-16.1906,-11.8966,212.94,3.1575,63.36,62.31,1
68,art,4,28.3686,-16.9381,-10.8853,27.3038,-16.1198,-7.8232,207.4,3.3436,63.36,62.22,1
69,art,4,28.3686,-16.9381,-10.8853,26.7923,-17.8371,-9.4071,215.33,2.3405,63.36,62.59,1
70,art,5,-7.8339,-10.5342,-19.8559,-6.5887,-6.6032,-21.0891,188.78,4.304,66.97,65.35,0
71,art,5,-7.8339,-10.5342,-19.8559,-12.1251,4.0933,-8.1408,201.43,19.2256,66.97,60.21,0
72,art,5,-7.8339,-10.5342,-19.8559,-8.1645,-12.2282,-17.5241,200.2,2.9011,66.97,65.94,1
73,art,5,-7.8339,-10.5342,-19.8559,-9.1572,-10.672,-18.3218,190.37,2.0308,66.97,66.21,1
74,art,5,-6.0475,-20.1052,13.9905,-6.2259,-20.4393,13.6337,153.21,0.5204,59.27,59.03,0
75,art,5,-6.0475,-20.1052,13.9905,-1.837,-5.4834,2.6952,156.17,18.9502,59.27,50.68,0
76,art,5,-6.0475,-20.1052,13.9905,-8.0822,-15.8818,13.8251,155.97,4.6909,59.27,57.14,0
77,art,5,-6.0475,-20.1052,13.9905,-5.6829,-16.9707,13.0827,153.42,3.2836,59.27,57.75,1
78,art,5,-7.5279,-25.9233,-2.3691,-6.3193,-23.5537,-9.5125,170.69,7.6226,62.69,59.53,0
79,art,5,-7.5279,-25.9233,-2.3691,-0.1413,-5.7669,2.7306,188.7,22.0647,62.69,54.41,0
80,art,5,-7.5279,-25.9233,-2.3691,-10.307,-24.9357,-3.3864,174.71,3.1199,62.69,61.42,1
81,art,5,-7.5279,-25.9233,-2.3691,-8.3815,-23.9203,-2.5398,185.93,2.1839,62.69,61.86,1
82,art,5,-7.5279,-25.9233,-2.3691,-4.9226,-25.2597,-2.0298,182.72,2.7098,62.69,61.64,1
83,art,5,-7.5279,-25.9233,-2.3691,-5.7992,-26.7026,-2.4145,178.59,1.8969,62.69,61.94,1
84,art,5,5.5917,0.9744,4.7216,13.5796,3.407,17.2666,166.51,15.0699,54.87,48.46,0
85,art,5,5.5917,0.9744,4.7216,-5.5473,-9.4631,-6.2436,151.56,18.7951,54.87,46.09,0
86,art,5,5.5917,0.9744,4.7216,4.0804,2.2142,7.2721,153.69,3.2135,54.87,53.39,1
87,art,5,5.5917,0.9744,4.7216,4.2919,0.8552,6.5536,165.05,2.2494,54.87,53.91,1
88,art,5,-22.5358,0.6416,-19.4624,-11.5163,8.3929,-20.1911,153.08,13.4923,69.46,63.22,0
