id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
0,art,1,0.0000,-30.0000,0.0000,0.0727,-29.6894,0.5082,214.35
1,art,2,0.0727,-29.6894,0.5082,0.1455,-29.3789,1.0164,214.35
2,art,3,0.1455,-29.3789,1.0164,0.2182,-29.0683,1.5246,214.35
3,art,4,0.2182,-29.0683,1.5246,0.2909,-28.7577,2.0328,214.35
4,art,5,0.2909,-28.7577,2.0328,0.3637,-28.4471,2.5409,214.35
5,art,6,0.3637,-28.4471,2.5409,0.4364,-28.1366,3.0491,214.33
6,art,6,0.3637,-28.4471,2.5409,0.4364,-28.1366,3.0491,12.00
7,art,7,0.4364,-28.1366,3.0491,0.5232,-27.8023,3.5398,214.32
8,art,7,0.4364,-28.1366,3.0491,0.5232,-27.8023,3.5398,12.00
9,art,8,0.5232,-27.8023,3.5398,0.6099,-27.4682,4.0306,214.31
10,art,8,0.5232,-27.8023,3.5398,0.6099,-27.4682,4.0306,12.00
11,art,9,0.6099,-27.4682,4.0306,0.6965,-27.1342,4.5214,214.30
12,art,9,0.6099,-27.4682,4.0306,0.6965,-27.1342,4.5214,12.00
13,art,10,0.6965,-27.1342,4.5214,0.7713,-26.8058,5.0180,214.28
14,art,10,0.6965,-27.1342,4.5214,0.7713,-26.8058,5.0180,12.00
15,art,11,0.7713,-26.8058,5.0180,0.7612,-26.4647,5.5115,214.27
16,art,11,0.7713,-26.8058,5.0180,0.7612,-26.4647,5.5115,12.00
17,art,12,0.7612,-26.4647,5.5115,0.6980,-26.0884,5.9745,214.26
18,art,12,0.7612,-26.4647,5.5115,0.6980,-26.0884,5.9745,12.00
19,art,13,0.6980,-26.0884,5.9745,0.6379,-25.7138,6.4393,214.25
20,art,13,0.6980,-26.0884,5.9745,0.6379,-25.7138,6.4393,12.00
21,art,14,0.6379,-25.7138,6.4393,0.5445,-25.3311,6.8919,214.23
22,art,14,0.6379,-25.7138,6.4393,0.5445,-25.3311,6.8919,12.00
23,art,15,0.5445,-25.3311,6.8919,0.5019,-24.9274,7.3338,214.22
24,art,15,0.5445,-25.3311,6.8919,0.5019,-24.9274,7.3338,12.00
25,art,16,0.5019,-24.9274,7.3338,0.4737,-24.5167,7.7702,214.21
26,art,16,0.5019,-24.9274,7.3338,0.4737,-24.5167,7.7702,12.00
27,art,17,0.4737,-24.5167,7.7702,0.4481,-24.1160,8.2160,170.59
28,art,17,0.4737,-24.5167,7.7702,0.4481,-24.1160,8.2160,169.44
29,art,18,0.4481,-24.1160,8.2160,0.4106,-23.6941,8.6410,170.57
30,art,18,0.4481,-24.1160,8.2160,0.4106,-23.6941,8.6410,12.00
31,art,18,0.4481,-24.1160,8.2160,1.0089,-24.1437,8.4274,27.47
32,art,19,0.4106,-23.6941,8.6410,0.2420,-23.2667,9.0269,126.30
33,art,18,0.4481,-24.1160,8.2160,1.0332,-23.9844,8.1967,169.20
34,art,19,0.4106,-23.6941,8.6410,0.2420,-23.2667,9.0269,143.39
35,art,19,1.0089,-24.1437,8.4274,1.5990,-24.2523,8.4232,26.69
36,art,20,0.2420,-23.2667,9.0269,0.0167,-22.8735,9.4201,126.27
37,art,19,1.0332,-23.9844,8.1967,1.5907,-23.7643,8.1707,169.18
38,art,19,1.0089,-24.1437,8.4274,1.5990,-24.2523,8.4232,12.00
39,art,20,0.2420,-23.2667,9.0269,0.0167,-22.8735,9.4201,12.00
40,art,19,1.0332,-23.9844,8.1967,1.5907,-23.7643,8.1707,12.00
41,art,20,0.2420,-23.2667,9.0269,-0.0417,-23.7120,9.3117,143.39
42,art,20,1.5990,-24.2523,8.4232,2.1891,-24.3610,8.4191,25.85
43,art,21,0.0167,-22.8735,9.4201,-0.0884,-22.4067,9.7821,126.16
44,art,20,1.5907,-23.7643,8.1707,2.1530,-23.5550,8.1746,169.16
45,art,20,1.5990,-24.2523,8.4232,2.1891,-24.3610,8.4191,12.00
46,art,21,0.0167,-22.8735,9.4201,-0.0884,-22.4067,9.7821,17.31
47,art,20,1.5907,-23.7643,8.1707,2.1530,-23.5550,8.1746,12.00
48,art,21,-0.0417,-23.7120,9.3117,-0.6318,-23.6974,9.4195,143.36
49,art,21,2.1891,-24.3610,8.4191,2.7791,-24.4696,8.4149,24.96
50,art,22,-0.0884,-22.4067,9.7821,-0.2623,-21.9135,10.0762,126.12
51,art,21,2.1530,-23.5550,8.1746,2.6935,-23.3088,8.2597,141.66
52,art,21,-0.0417,-23.7120,9.3117,-0.6318,-23.6974,9.4195,12.00
53,art,21,2.1891,-24.3610,8.4191,2.7791,-24.4696,8.4149,12.00
54,art,22,-0.0884,-22.4067,9.7821,-0.2623,-21.9135,10.0762,12.00
55,art,21,2.1530,-23.5550,8.1746,2.6652,-23.2639,8.2883,125.94
56,art,22,-0.0884,-22.4067,9.7821,0.3072,-22.6147,10.1825,12.00
57,art,22,-0.6318,-23.6974,9.4195,-1.2173,-23.5709,9.4525,12.00
58,art,22,2.7791,-24.4696,8.4149,3.3692,-24.5782,8.4107,24.00
59,art,23,-0.2623,-21.9135,10.0762,-0.3079,-21.3677,10.3213,126.09
60,art,22,2.6935,-23.3088,8.2597,3.2352,-23.0852,8.1305,141.63
61,art,22,2.6652,-23.2639,8.2883,2.9970,-22.8890,8.6190,125.90
62,art,22,-0.0884,-22.4067,9.7821,0.3072,-22.6147,10.1825,15.12
63,art,22,-0.6318,-23.6974,9.4195,-1.2173,-23.5709,9.4525,143.33
64,art,22,2.7791,-24.4696,8.4149,3.3692,-24.5782,8.4107,12.00
65,art,23,-0.2623,-21.9135,10.0762,-0.3079,-21.3677,10.3213,12.00
66,art,22,2.6935,-23.3088,8.2597,3.2352,-23.0852,8.1305,12.00
67,art,22,2.6652,-23.2639,8.2883,2.9970,-22.8890,8.6190,12.00
68,art,23,3.3692,-24.5782,8.4107,3.9593,-24.6868,8.4065,22.96
69,art,24,-0.3079,-21.3677,10.3213,-0.4448,-20.8143,10.5084,12.00
70,art,23,3.2352,-23.0852,8.1305,3.7762,-22.8596,8.0028,12.00
71,art,23,2.9970,-22.8890,8.6190,3.3284,-22.5137,8.9496,12.00
72,art,23,0.3072,-22.6147,10.1825,0.7627,-22.6391,10.5722,12.00
73,art,23,-1.2173,-23.5709,9.4525,-1.7919,-23.3982,9.4412,12.00
74,art,23,3.3692,-24.5782,8.4107,3.9593,-24.6868,8.4065,12.00
75,art,24,-0.3079,-21.3677,10.3213,-0.4448,-20.8143,10.5084,126.05
76,art,23,3.2352,-23.0852,8.1305,3.7762,-22.8596,8.0028,141.60
77,art,23,2.9970,-22.8890,8.6190,3.3284,-22.5137,8.9496,125.87
78,art,23,0.3072,-22.6147,10.1825,0.7753,-22.4529,10.5211,12.00
